loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
0.159,2.427767038345337,5.8706166868198306e-05,3.622159090909091,2550,,,,,,,,,,,,,,,,,,,,,
0.1832,3.021233081817627,5.5683192261185015e-05,3.6931818181818183,2600,,,,,,,,,,,,,,,,,,,,,
0.1766,2.164680242538452,5.2660217654171705e-05,3.7642045454545454,2650,,,,,,,,,,,,,,,,,,,,,
0.1478,0.9693878293037415,4.963724304715841e-05,3.8352272727272725,2700,,,,,,,,,,,,,,,,,,,,,
0.1464,3.11457896232605,4.6614268440145104e-05,3.90625,2750,,,,,,,,,,,,,,,,,,,,,
0.1622,1.546757698059082,4.35912938331318e-05,3.9772727272727275,2800,,,,,,,,,,,,,,,,,,,,,
,,,4.0,2816,0.20453795790672302,0.9352,0.9459691252144082,0.9176372712146422,0.9315878378378378,1.4768,1692.815,53.493,,,,,,,,,,,,,
0.1334,2.3910329341888428,4.05683192261185e-05,4.048295454545454,2850,,,,,,,,,,,,,,,,,,,,,
0.1285,1.461841106414795,3.75453446191052e-05,4.119318181818182,2900,,,,,,,,,,,,,,,,,,,,,
0.1333,2.1691222190856934,3.4522370012091895e-05,4.190340909090909,2950,,,,,,,,,,,,,,,,,,,,,
0.1556,1.4851394891738892,3.14993954050786e-05,4.261363636363637,3000,,,,,,,,,,,,,,,,,,,,,
0.1477,1.7337349653244019,2.8476420798065294e-05,4.332386363636363,3050,,,,,,,,,,,,,,,,,,,,,
0.1564,7.150392055511475,2.5453446191051993e-05,4.403409090909091,3100,,,,,,,,,,,,,,,,,,,,,
0.1676,1.7561049461364746,2.2430471584038696e-05,4.474431818181818,3150,,,,,,,,,,,,,,,,,,,,,
0.1712,2.6086254119873047,1.9407496977025395e-05,4.545454545454545,3200,,,,,,,,,,,,,,,,,,,,,
0.1355,1.3715217113494873,1.638452237001209e-05,4.6164772727272725,3250,,,,,,,,,,,,,,,,,,,,,
0.1227,1.956865668296814,1.3361547762998791e-05,4.6875,3300,,,,,,,,,,,,,,,,,,,,,
0.155,1.9751946926116943,1.033857315598549e-05,4.7585227272727275,3350,,,,,,,,,,,,,,,,,,,,,
0.1467,1.0287150144577026,7.315598548972188e-06,4.829545454545455,3400,,,,,,,,,,,,,,,,,,,,,
0.1703,3.353060245513916,4.292623941958888e-06,4.900568181818182,3450,,,,,,,,,,,,,,,,,,,,,
0.1271,1.191869854927063,1.2696493349455866e-06,4.971590909090909,3500,,,,,,,,,,,,,,,,,,,,,
,,,5.0,3520,0.19451765716075897,0.9352,0.9362416107382551,0.9284525790349417,0.9323308270676691,1.7134,1459.066,46.106,,,,,,,,,,,,,
,,,5.0,3520,,,,,,,,,297.8761,377.674,11.817,2.63693798784e+16,0.2036362956870686,,,,,,,,
,,,5.0,3520,,,,,,,,,,,,,,0.19507917761802673,0.93064,0.9246607762701168,0.93768,0.9311248808388942,12.9259,1934.096,60.499
