loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
1.7468,4.734184265136719,1.6333333333333335e-05,0.1,50,,,,,,,,,,,,,,,,,,,,,
1.6271,3.306533098220825,3.3e-05,0.2,100,,,,,,,,,,,,,,,,,,,,,
1.5842,2.705876588821411,4.966666666666667e-05,0.3,150,,,,,,,,,,,,,,,,,,,,,
1.6,4.137532711029053,4.895744680851064e-05,0.4,200,,,,,,,,,,,,,,,,,,,,,
1.5532,4.872715950012207,4.78936170212766e-05,0.5,250,,,,,,,,,,,,,,,,,,,,,
1.4006,4.592416763305664,4.682978723404256e-05,0.6,300,,,,,,,,,,,,,,,,,,,,,
1.0585,8.355886459350586,4.576595744680851e-05,0.7,350,,,,,,,,,,,,,,,,,,,,,
0.8663,5.1075029373168945,4.4702127659574474e-05,0.8,400,,,,,,,,,,,,,,,,,,,,,
0.7537,6.631794452667236,4.3638297872340425e-05,0.9,450,,,,,,,,,,,,,,,,,,,,,
0.7158,4.320541858673096,4.2574468085106384e-05,1.0,500,,,,,,,,,,,,,,,,,,,,,
,,,1.0,500,0.6070841550827026,0.7815,0.7398428135144018,0.7167948851348066,0.7262364077770062,2.2672,882.127,27.787,,,,,,,,,,,,,
0.6386,5.281570911407471,4.151063829787234e-05,1.1,550,,,,,,,,,,,,,,,,,,,,,
0.6327,18.257469177246094,4.04468085106383e-05,1.2,600,,,,,,,,,,,,,,,,,,,,,
0.5512,8.076774597167969,3.938297872340426e-05,1.3,650,,,,,,,,,,,,,,,,,,,,,
0.5511,9.518853187561035,3.831914893617021e-05,1.4,700,,,,,,,,,,,,,,,,,,,,,
0.5571,5.039733409881592,3.7255319148936176e-05,1.5,750,,,,,,,,,,,,,,,,,,,,,
0.4737,6.907827854156494,3.619148936170213e-05,1.6,800,,,,,,,,,,,,,,,,,,,,,
0.5201,6.877532958984375,3.5127659574468086e-05,1.7,850,,,,,,,,,,,,,,,,,,,,,
0.4818,6.398705005645752,3.4063829787234044e-05,1.8,900,,,,,,,,,,,,,,,,,,,,,
0.4809,12.088321685791016,3.3e-05,1.9,950,,,,,,,,,,,,,,,,,,,,,
0.4616,5.894501686096191,3.193617021276596e-05,2.0,1000,,,,,,,,,,,,,,,,,,,,,
,,,2.0,1000,0.3849727213382721,0.8675,0.8447657783595929,0.8123755619058145,0.8260767208707814,1.6183,1235.843,38.929,,,,,,,,,,,,,
0.4491,8.059061050415039,3.087234042553191e-05,2.1,1050,,,,,,,,,,,,,,,,,,,,,
0.4191,6.9938578605651855,2.9808510638297878e-05,2.2,1100,,,,,,,,,,,,,,,,,,,,,
0.3649,7.700021266937256,2.8744680851063833e-05,2.3,1150,,,,,,,,,,,,,,,,,,,,,
0.3815,6.497464179992676,2.7680851063829788e-05,2.4,1200,,,,,,,,,,,,,,,,,,,,,
0.423,5.78851318359375,2.6617021276595743e-05,2.5,1250,,,,,,,,,,,,,,,,,,,,,
0.3378,6.463888168334961,2.5553191489361705e-05,2.6,1300,,,,,,,,,,,,,,,,,,,,,
0.3787,6.265240669250488,2.448936170212766e-05,2.7,1350,,,,,,,,,,,,,,,,,,,,,
0.3725,7.697784423828125,2.3425531914893618e-05,2.8,1400,,,,,,,,,,,,,,,,,,,,,
0.3767,7.673896789550781,2.2361702127659576e-05,2.9,1450,,,,,,,,,,,,,,,,,,,,,
0.3457,7.115162372589111,2.1297872340425535e-05,3.0,1500,,,,,,,,,,,,,,,,,,,,,
,,,3.0,1500,0.30161672830581665,0.894,0.8550024061134729,0.8647902511083557,0.8596790024765356,1.3668,1463.268,46.093,,,,,,,,,,,,,
0.3338,5.279386520385742,2.023404255319149e-05,3.1,1550,,,,,,,,,,,,,,,,,,,,,
0.3487,8.260976791381836,1.9170212765957448e-05,3.2,1600,,,,,,,,,,,,,,,,,,,,,
0.2978,6.168393135070801,1.8106382978723403e-05,3.3,1650,,,,,,,,,,,,,,,,,,,,,
0.3224,6.443288803100586,1.704255319148936e-05,3.4,1700,,,,,,,,,,,,,,,,,,,,,
0.3324,6.173306941986084,1.597872340425532e-05,3.5,1750,,,,,,,,,,,,,,,,,,,,,
0.3235,9.501029014587402,1.4914893617021278e-05,3.6,1800,,,,,,,,,,,,,,,,,,,,,
0.313,5.136068344116211,1.3851063829787233e-05,3.7,1850,,,,,,,,,,,,,,,,,,,,,
0.3301,9.136235237121582,1.2787234042553192e-05,3.8,1900,,,,,,,,,,,,,,,,,,,,,
0.2958,5.099210739135742,1.172340425531915e-05,3.9,1950,,,,,,,,,,,,,,,,,,,,,
0.3205,9.523591995239258,1.0659574468085107e-05,4.0,2000,,,,,,,,,,,,,,,,,,,,,
,,,4.0,2000,0.27908027172088623,0.902,0.8743010221502759,0.8644139474335293,0.8685261179336172,1.4081,1420.367,44.742,,,,,,,,,,,,,
0.2901,4.939857006072998,9.595744680851064e-06,4.1,2050,,,,,,,,,,,,,,,,,,,,,
0.2625,22.3898868560791,8.53191489361702e-06,4.2,2100,,,,,,,,,,,,,,,,,,,,,
0.3141,12.044425010681152,7.468085106382979e-06,4.3,2150,,,,,,,,,,,,,,,,,,,,,
0.2791,5.168380260467529,6.404255319148937e-06,4.4,2200,,,,,,,,,,,,,,,,,,,,,
0.3097,3.3319742679595947,5.340425531914894e-06,4.5,2250,,,,,,,,,,,,,,,,,,,,,
0.3018,5.502721309661865,4.2765957446808515e-06,4.6,2300,,,,,,,,,,,,,,,,,,,,,
0.296,5.517955780029297,3.2127659574468086e-06,4.7,2350,,,,,,,,,,,,,,,,,,,,,
0.3084,4.845378398895264,2.148936170212766e-06,4.8,2400,,,,,,,,,,,,,,,,,,,,,
0.2934,8.600940704345703,1.0851063829787236e-06,4.9,2450,,,,,,,,,,,,,,,,,,,,,
0.3036,4.844387531280518,2.1276595744680853e-08,5.0,2500,,,,,,,,,,,,,,,,,,,,,
,,,5.0,2500,0.26510632038116455,0.9095,0.8827940689556676,0.875923648774073,0.8790284146422181,1.3599,1470.695,46.327,,,,,,,,,,,,,
,,,5.0,2500,,,,,,,,,211.6813,377.927,11.81,7590477661869312.0,0.5656174068450928,,,,,,,,
,,,5.0,2500,,,,,,,,,,,,,,0.2557980716228485,0.896,0.8493433551206552,0.8430646424957264,0.8460500580918916,1.5464,1293.329,40.74
