model,train_domain,test_domain,accuracy,precision,recall,f1
baseline_svm,imdb,imdb,0.89152,0.893029232251847,0.8896,0.8913113177300417
baseline_svm,imdb,sst2,0.7591743119266054,0.7633928571428571,0.7668161434977578,0.7651006711409396
baseline_svm,sst2,imdb,0.7844,0.8955273698264352,0.64392,0.749162323157111
baseline_svm,sst2,sst2,0.8142201834862385,0.7958333333333333,0.8565022421524664,0.8250539956803455
distilbert,imdb,imdb,0.88096,0.8725551556876858,0.89224,0.8822877936872083
distilbert,imdb,sst2,0.8486238532110092,0.8007662835249042,0.9372197309417041,0.8636363636363636
distilbert,sst2,imdb,0.8368,0.8475317814099389,0.82136,0.8342406760380271
distilbert,sst2,sst2,0.8990825688073395,0.8908296943231441,0.9147982062780269,0.9026548672566371
