model,dataset,perturbation,baseline_f1,perturbed_f1,f1_drop,baseline_acc,perturbed_acc
baseline_svm,imdb,case,0.8913113177300417,0.8913113177300417,0.0,0.89152,0.89152
baseline_svm,imdb,negation,0.8913113177300417,0.8884146095920751,0.002896708137966608,0.89152,0.88916
baseline_svm,imdb,typo,0.8913113177300417,0.8910279549191834,0.00028336281085827864,0.89152,0.89132
distilbert,imdb,case,0.8822877936872083,0.8822877936872083,0.0,0.88096,0.88096
distilbert,imdb,negation,0.8822877936872083,0.861038067883005,0.021249725804203368,0.88096,0.8626
distilbert,imdb,typo,0.8822877936872083,0.8796634386410541,0.0026243550461542142,0.88096,0.87872
