loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_runtime,test_samples_per_second,test_steps_per_second
0.6878,1.919007658958435,6.933962264150943e-05,0.07102272727272728,50,,,,,,,,,,,,,,,,,,,,,
0.5798,1.730574131011963,0.0001400943396226415,0.14204545454545456,100,,,,,,,,,,,,,,,,,,,,,
0.4344,0.8917632699012756,0.00021084905660377358,0.21306818181818182,150,,,,,,,,,,,,,,,,,,,,,
0.3837,1.9589335918426514,0.0002816037735849056,0.2840909090909091,200,,,,,,,,,,,,,,,,,,,,,
0.4139,1.2702293395996094,0.0002966444981862152,0.35511363636363635,250,,,,,,,,,,,,,,,,,,,,,
0.3629,1.2622060775756836,0.0002921100362756953,0.42613636363636365,300,,,,,,,,,,,,,,,,,,,,,
0.3718,1.2636359930038452,0.0002875755743651753,0.4971590909090909,350,,,,,,,,,,,,,,,,,,,,,
0.3881,1.3084732294082642,0.0002830411124546554,0.5681818181818182,400,,,,,,,,,,,,,,,,,,,,,
0.3367,2.5196313858032227,0.0002785066505441354,0.6392045454545454,450,,,,,,,,,,,,,,,,,,,,,
0.3346,1.0034000873565674,0.00027397218863361544,0.7102272727272727,500,,,,,,,,,,,,,,,,,,,,,
0.3655,3.5465164184570312,0.00026943772672309547,0.78125,550,,,,,,,,,,,,,,,,,,,,,
0.3342,0.9248766899108887,0.00026490326481257555,0.8522727272727273,600,,,,,,,,,,,,,,,,,,,,,
0.3383,1.4683184623718262,0.00026036880290205563,0.9232954545454546,650,,,,,,,,,,,,,,,,,,,,,
0.3469,1.5197023153305054,0.00025583434099153566,0.9943181818181818,700,,,,,,,,,,,,,,,,,,,,,
